timestamp,host_id,user_id,user_role,process_name,parent_process,command_text,script_type,command_length,num_arguments,execution_result,is_anomaly,anomaly_score,predicted_anomaly
14/12/2025 12:29:05,host_03,user_05,Standard,powershell.exe,cmd.exe,New-Process,powershell,11,1,success,benign,0.002057947534317945,0
03/12/2025 15:30:16,host_01,user_03,Standard,notepad.exe,explorer.exe,New-File C:\Wi,notepad,14,1,success,benign,0.00023452450631425211,0
25/12/2025 13:37:14,host_03,user_08,Admin,python.exe,wscript.exe,Get-Process C:\Windows\Temp.log,python,31,1,failure,benign,0.005370208246667534,1
10/12/2025 10:33:40,host_01,user_06,Admin,mshta.exe,taskeng.exe,Remove-File C:\Windows\Temp.ps1 Remove-Job /tmp,mshta,47,2,success,benign,0.0008885311035260817,0
10/12/2025 10:19:16,host_02,user_06,Standard,mshta.exe,svchost.exe,Stop-File /tmp.txt Set-Job,mshta,26,2,success,benign,0.0002196805974218668,0
17/12/2025 18:56:57,host_03,user_02,Standard,cmd.exe,powershell.exe,New-Service C:\Windows\Temp.txt Stop-,cmd,37,2,failure,benign,0.0034490243182003586,0
28/12/2025 13:40:15,host_02,user_02,Standard,powershell.exe,explorer.exe,Get-Job C:\Windows\Temp.ps1 Stop-Process /,powershell,42,2,success,benign,0.00010714232692808267,0
28/12/2025 17:34:02,host_03,user_01,Standard,notepad.exe,explorer.exe,Remove-Registry C:\Users\Public.txt S,notepad,37,2,success,benign,0.00022997349675892435,0
18/12/2025 11:02:37,host_02,user_06,Standard,rundll32.exe,powershell.exe,New-Process C:\Windows\Temp.log Start-File C:,rundll32,45,2,success,benign,0.00017411754548894029,0
18/12/2025 18:25:03,host_02,user_07,Standard,notepad.exe,explorer.exe,New-File C:\Users\Public.log Remove-Process /usr/bin.txt Get-Servi,notepad,66,3,success,suspicious,0.0001860754955767027,0
03/12/2025 08:35:11,host_01,user_04,Standard,cmd.exe,regsvr32.exe,Start-Registr,cmd,13,1,success,benign,0.0005283042113137937,0
26/12/2025 09:49:51,host_02,user_01,Standard,wscript.exe,explorer.exe,Remove-Registry C:\Users\Publ,wscript,29,1,success,benign,0.00014055596876569413,0
29/12/2025 18:11:35,host_02,user_01,Admin,cmd.exe,python.exe,Start-File /usr/bin.txt Set-Registry C:\Use,cmd,43,2,success,benign,0.00034034121309859945,0
05/12/2025 12:07:42,host_03,user_04,Admin,regsvr32.exe,powershell.exe,Start-File /usr/bin.txt Se,regsvr32,26,2,success,benign,0.00036118760947263345,0
29/12/2025 10:42:30,host_03,user_04,Standard,python.exe,explorer.exe,Start-Registry /usr/bin.t,python,25,1,success,benign,0.00011574763601760528,0
28/12/2025 16:31:02,host_01,user_09,Standard,powershell.exe,explorer.exe,Get-Service /tmp.ps1 Get-File /usr/,powershell,35,2,success,benign,0.00024250886466061806,0
29/12/2025 11:39:35,host_02,user_10,Standard,rundll32.exe,powershell.exe,Stop-Job C:\Windows\Temp.ps1 Start-File C:\,rundll32,43,2,success,benign,0.00012927561247832003,0
16/12/2025 08:48:58,host_01,user_06,Standard,wscript.exe,powershell.exe,Set-File C:\Users\Public.txt Rem,wscript,32,2,success,benign,0.00022700902613050967,0
10/12/2025 14:00:56,host_03,user_07,Standard,powershell.exe,python.exe,Remove-File /tmp.log Start-Service /tmp.ps1,powershell,43,2,success,benign,0.00013458913986680323,0
24/12/2025 18:26:19,host_02,user_10,Standard,powershell.exe,powershell.exe,Get-Registry /tmp.log Set-Job C:\Users\Public.txt Remove-Registry /usr/,powershell,71,3,success,suspicious,0.0007146976225017669,0
19/12/2025 08:18:27,host_03,user_10,Standard,powershell.exe,cmd.exe,Set-Job /tmp.log Remove,powershell,23,2,success,benign,0.0029109700728089387,0
01/12/2025 14:36:24,host_02,user_07,Standard,cmd.exe,wscript.exe,Stop-Service /tmp.ps1 Start-Job C:\Windows\Temp,cmd,47,2,success,benign,0.0001913954064938799,0
07/12/2025 11:53:00,host_03,user_02,Standard,regsvr32.exe,powershell.exe,Set-File C:\Windows\Temp,regsvr32,24,1,success,benign,0.00024550790237209367,0
11/12/2025 09:38:13,host_03,user_02,Standard,powershell.exe,python.exe,New-Process C:\Windows\Temp.log Stop-Service,powershell,44,2,success,benign,0.00013575885546694114,0
05/12/2025 10:56:22,host_03,user_03,Standard,rundll32.exe,powershell.exe,New-Process /tmp.log Stop-Process C:\U,rundll32,38,2,success,benign,0.0001944294440864009,0
09/12/2025 08:42:32,host_01,user_10,Standard,regsvr32.exe,cmd.exe,Get-Job C:\Users\Public.py Remove-Service /usr,regsvr32,46,2,success,benign,0.00027001285336785764,0
28/12/2025 04:03:37,host_02,user_03,Standard,python.exe,rundll32.exe,Set-Registry /usr/bin.log Stop-Registry C:\Windows\Temp.txt Get-Registry C:\Users\Public.ps1,python,92,3,success,suspicious,0.041737231303203115,1
30/12/2025 09:51:35,host_02,user_01,Admin,notepad.exe,python.exe,Get-Service C:\Users\Public.ps1,notepad,31,1,success,benign,0.00032480586544684565,0
