timestamp,host_id,user_id,user_role,process_name,parent_process,command_text,script_type,command_length,num_arguments,execution_result,is_anomaly,anomaly_score,predicted_anomaly,,,,,,,,,,
22/12/2025 20:29,host_03,user_07,Admin,notepad.exe,explorer.exe,Get-Registry /usr/bin.txt Set-File C:\Users\Public.log Stop-Registry /tmp.ps1 New-Job C:\Windows\T,notepad,98,4,success,suspicious,0.081512932,1,,,,,,,,,,
03/12/2025 14:06,host_02,user_10,Standard,powershell.exe,powershell.exe,New-Registry C:\Use,powershell,19,1,success,benign,-0.1459442,0,,,,,,,,,,
31/12/2025 11:41,host_03,user_08,Standard,cmd.exe,explorer.exe,Set-Service /tmp.ps1 Set-Proce,cmd,30,2,success,benign,-0.14491172,0,,,,,,,,,,
29/12/2025 09:59,host_01,user_06,Standard,notepad.exe,explorer.exe,Remove-Job /usr/bin.ps1,notepad,23,1,success,benign,-0.12769964,0,,,suspicious,51,,,,,,
21/12/2025 13:16,host_01,user_10,Standard,cmd.exe,wscript.exe,Get-Registry /tmp.py Remov,cmd,26,2,success,benign,-0.08678708,0,,,,,,,,,,
25/12/2025 17:31,host_02,user_03,Standard,powershell.exe,services.exe,Stop-File /usr/bin.,powershell,19,1,success,benign,-0.007882033,0,,,benign,949,,,,,,
31/12/2025 15:06,host_02,user_04,Standard,notepad.exe,explorer.exe,Stop-Service /usr/bin.py St,notepad,27,2,success,benign,-0.235837341,0,,,,,,,,,,
08/12/2025 08:57,host_02,user_06,Standard,notepad.exe,explorer.exe,New-Job /usr/bin.ps1 Stop-Proce,notepad,31,2,success,benign,-0.128000802,0,,,,,,,,,,
19/12/2025 10:57,host_03,user_01,Standard,python.exe,explorer.exe,Remove-Job C:\Windows\Temp.ps1 Stop-Job C:\Users\P,python,50,2,success,benign,-0.076947966,0,,,,,,,,,,
26/12/2025 09:38,host_03,user_04,Standard,rundll32.exe,wscript.exe,Set-Service /usr/bin.log Remove-R,rundll32,33,2,success,benign,-0.143253435,0,,,,,,,,,,
18/12/2025 17:41,host_02,user_10,Standard,cmd.exe,wscript.exe,Start-Registry C:\Users\Public.ps1 Stop-Fil,cmd,43,2,success,benign,-0.125378821,0,,,,,,,,,,
26/12/2025 08:43,host_01,user_08,Standard,notepad.exe,explorer.exe,Set-Registry /tmp.txt Sta,notepad,25,2,success,benign,-0.029482576,0,,,,,,,,,,
12/12/2025 14:12,host_02,user_02,Standard,python.exe,explorer.exe,Remove-Regist,python,13,1,success,benign,-0.018454939,0,,,,,Pred sus,Pred ben,,,,
29/12/2025 12:01,host_01,user_03,Standard,python.exe,rundll32.exe,Stop-Process C:\Windows\Temp.txt Set-Service /,python,46,2,success,benign,-0.081313577,0,,,,,,,,,,
03/12/2025 13:06,host_01,user_06,Standard,cmd.exe,wscript.exe,Stop-Registry,cmd,13,1,success,benign,-0.056419422,0,,,,Actual sus,33,18,,,,
26/12/2025 12:01,host_01,user_02,Standard,powershell.exe,cmd.exe,Stop-Service /usr/bin.ps1 Set-Regi,powershell,34,2,success,benign,-0.129680583,0,,,,,,,,,Recall =,0.647058824
30/12/2025 08:35,host_03,user_05,Standard,wscript.exe,explorer.exe,Remove-Registry /usr/bin.,wscript,25,1,success,benign,-0.030996205,0,,,,Actual ben,17,932,,,,
21/12/2025 08:13,host_02,user_04,Standard,notepad.exe,explorer.exe,Start-Regi,notepad,10,1,success,benign,-0.004447619,0,,,,,,,,,,
21/12/2025 11:11,host_01,user_07,Admin,notepad.exe,explorer.exe,Get-File C:\Users\P,notepad,19,1,success,benign,-0.073079783,0,,,,,,,,,,
14/12/2025 14:51,host_03,user_03,Standard,notepad.exe,explorer.exe,Get-Service /tmp.txt Remove-Job C:\Windows\Temp,notepad,47,2,success,benign,-0.102305128,0,,,,,,,,,,
29/12/2025 08:55,host_03,user_09,Standard,rundll32.exe,cmd.exe,Get-Process C:\Windows,rundll32,22,1,success,benign,-0.070092971,0,,,,,,,,,,
31/12/2025 12:41,host_02,user_04,Standard,cmd.exe,mshta.exe,Remove-File /tmp.py New-Registry /usr/bin.ps,cmd,44,2,success,benign,-0.077086497,0,,,,,TP,FN,,,,
03/12/2025 14:05,host_02,user_07,Standard,python.exe,cscript.exe,Remove-Registry C:\Users\Public.log Get-S,python,41,2,success,benign,-0.195524238,0,,,,,FP,TN,,,,
